type,severity,pattern,command,message,
1,Medium,clear configure snmp-server,clear configure snmp-server,Clears the configuration of snmp-server,
1,Medium,no snmp-server community public,no snmp-server community public,SNMP Community Public Forbidden,
1,Medium,no snmp-server community private,no snmp-server community private,SNMP Private Community Forbidden,
1,High,no http server enable,no http server enable,Prohibited HTTP server Service,
1,High,clear telnet,clear telnet,Ensured no telnet access,
1,Medium,ip audit attack action alarm drop,ip audit attack action alarm drop,IDS ip audit attack, Offending Packet Dropped
1,Medium,logging facility,logging facility 20,Set Syslog Facility,
1,Medium,logging trap,logging trap 7,Logging trap info or debug,
1,Medium,logging console,logging console 2,Logging Console Critical,
1,Medium,term monitor,term monitor,See log messages on Monitor,
1,Medium,logging history,logging history 6,Set SNMP trap level to informational,
1,Medium,no dhcpd,no dhcpd enable,Disable DHCP service/access on the ASA,
1,Medium,ssh timeout,ssh timeout 10,Set SSH session timeout to 10,
1,High,console timeout 5,console timeout 5,Console session time out ,
1,Medium,failover timeout,failover timeout 0:00:00,Setting Failover timeout on the ASA firewall.,
1,Medium,failover poll,failover poll 15,Setting Failover polling on the ASA firewall,
1,High,ssh 192.168.1.0 255.255.255.0 inside,ssh 192.168.1.0 255.255.255.0 inside,Set SSH access address,
2,High,icmp deny any outside,icmp deny any outside (log)*,Deny ICMP on the outside interface,
2,High,(enable logging|logging enable|logging on),(enable logging|logging enable|logging on),enable logging,
2,Medium,no snmp-server enable traps,no snmp-server enable traps(\\s+.*)*,snmp-server is disabled,
2,Medium,ip verify reverse-path interface,ip verify reverse-path interface (\\S+),Unicast RPF Verification,
2,Medium,failover ip address outside,failover ip address outside (\\S+),Failover ip address configured for outside on the ASA firewall.,
2,Medium,failover ip address inside,failover ip address inside  (\\S+),Failover ip address configured for inside on the ASA firewall.,
2,Medium,failover ip address Internet,failover ip address Internet  (\\S+),Failover ip address configured for Internet on the ASA firewall.,
2,Medium,failover ip address AWS-out,failover ip address AWS-out (\\S+),Failover ip address configured for AWS-out on the ASA firewall.,
2,Medium,timeout xlate,timeout xlate (01:00:00|1:00:00),Set the translation slot timeout to 1 Hour,
2,High,aaa-server (\\S+) protocol,aaa-server (\\S+) protocol (radius|local|tacacs\+),,
2,High,aaa-server (\\S+) max-failed-attempts,aaa-server (\\S+) max-failed-attempts 3,,
2,High,aaa-server (\\S+) deadtime,aaa-server (\\S+) deadtime 10,,
2,High,aaa authentication,aaa authentication (telnet|ssh) console (LOCAL|\\S+ (LOCAL)*),,
2,Medium,timeout conn,timeout conn (00:30:00|0:30:00),Timeout connection for 30 mins,
3,Medium,snmp-server community,snmp-server community (public|private)( .*)*,snmp-server community should not be public/private,
3,Medium,snmp-server enable traps,snmp-server enable traps(.*)*,snmp-server should not be enabled,
3,High,http server enable,http server enable( .*)*,http server should not be enabled,
3,Medium,dhcpd enable,dhcpd enable (\\S+),DHCP service/access should not be enabled,
3,High,(no enable logging|no logging enable),(no enable logging|no logging enable),Logging disabled,
3,High,telnet,telnet (\\S+) (\\S+) (inside|dmz),Telnet access should be avoided,
3,Medium,no logging console,no logging console,All Console logging turned off,
4,High,username,username <#username> password <#password>,Warning: Either Username or Password is not as per the Company Policy,
5,Medium,TimeStamp Logging,<#startofline>%<#datetime|Mon DD hh:mm:ss>,WARNING: Timestamps not found at start of the this event message,
