ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
1.1.1.1 - Require AAA Authentication for Enable Mode,"Verify centralized authentication, authorization and accounting (AAA) service is enabled.",1.1.1 - Local AAA Rules,,"Globally enable authentication, authorization and accounting (AAA)",no,no,46,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,aaa authentication enable console,5,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.4, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authentication enable console</cmd></code>
1.1.1.2 - Require AAA Authentication for Console and Other Interactive Management Protocols,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure AAA authentication method(s) for Serial, Enable, HTTP, and VTY lines",no,yes,47,((PIX|ASA) Version [678][.][0-9]+[(]*[0-9]*[)]*[0-9]*\s)(?!\<context>)(?!\<system>),ASAGlobal,,Required,aaa authentication (serial|ssh|enable|telnet|http|secure-http-client) console \S+ LOCAL,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authentication ( serial | ssh | enable | telnet | http | secure-http-client ) console { server-tag [LOCAL] | LOCAL }</cmd></code>
1.1.1.2 - Require AAA Authentication for Console and Other Interactive Management Protocols on Virtual Contexts,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,Configure AAA Authentication for Console and Other Interactive Management Protocols on Virual Contexts,no,yes,48,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s<context>),ASAGlobal,,Required,aaa authentication (serial|ssh|enable|telnet|http|secure-http-client) console LOCAL,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authentication ( serial | ssh | enable | telnet | http | secure-http-client ) console { server-tag [LOCAL] | LOCAL }</cmd></code>
1.1.1.2 - Require AAA Authentication for Console and Other Interactive Management Protocols on FWSM,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,Configure AAA Authentication for Console and Other Interactive Management Protocols on FWSM,no,no,49,(FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*),ASAGlobal,,Required,aaa authentication (ssh|enable|telnet|http|secure-http-client) console LOCAL,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authentication ( serial | ssh | enable | telnet | http | secure-http-client ) console { server-tag [LOCAL] | LOCAL }</cmd></code>
1.1.1.3 - Require Defined AAA Servers and Protocols,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure designated security protocol, server, key and timeout used for authenticating users.",no,yes,50,((PIX|ASA) Version [678][.][0-9]+[(]*[0-9]*[)]*[0-9]*\s)(?!\<context>)(?!\<system>),ASAGlobal,,Required,aaa-server \S+ host \w+ \S+ timeout 10,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa-server {server-tag} host {aaa_server-ip} [key] timeout [seconds]</cmd></code>
1.1.1.3 - Require Defined AAA Servers and Protocols for Virtual Contexts,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure designated security protocol, server, key and timeout used for authenticating users on Virual Contexts",no,yes,51,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s<context>),ASAGlobal,,Required,aaa-server \w+ host \w+ \w+ timeout,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa-server {server-tag} host {aaa_server-ip} [key] timeout [seconds]</cmd></code>
1.1.1.3 - Require Defined AAA Servers and Protocols on FWSM,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure designated security protocol, server, key and timeout used for authenticating users on FWSM",no,yes,52,(FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*),ASAGlobal,,Required,aaa-server \w+ host \w+ \w+ timeout,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa-server {server-tag} host {aaa_server-ip} [key] timeout [seconds]</cmd></code>
1.1.1.4 - Require AAA Command Authorization ASA,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure AAA authorization for local commands entered through CLI, ASDM, or Enable mode. AAA authorization can be conducted againstlocally configured users with assigned privilege levels or Radius through user privilege levels assigned through attributes.",no,no,53,((PIX|ASA) Version [678][.][0-9]+[(]*[0-9]*[)]*[0-9]*\s)(?!\<context>)(?!\<system>),ASAGlobal,,Required,aaa authorization,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authorization {exec | command} {authentication-server | LOCAL}</cmd></code>
1.1.1.4 - Require AAA Command Authorization for Virtual Contexts,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure AAA authorization for local commands entered through CLI, ASDM, or Enable mode. AAA authorization can be conducted againstlocally configured users with assigned privilege levels or Radius through user privilege levels assigned through attributes.",no,no,54,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s<context>),ASAGlobal,,Required,aaa authorization,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authorization {exec | command} {authentication-server | LOCAL}</cmd></code>
1.1.1.4 - Require AAA Command Authorization for FWSM,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.",1.1.1 - Local AAA Rules,,"Configure AAA authorization for local commands entered through CLI, ASDM, or Enable mode. AAA authorization can be conducted againstlocally configured users with assigned privilege levels or Radius through user privilege levels assigned through attributes.",no,yes,55,(FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*),ASAGlobal,,Required,aaa authorization,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authorization {exec | command} {authentication-server | LOCAL}</cmd></code>
