ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,Severity,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
1.2.2.3 - Forbid Finger Service - IOS 12.0,"Disable finger server. For IOS 12.0, this rule is designed to ""fail"" every time. This forces the fix to be applied with each run of RAT. The reason for this behavior is that it appears that the default for finger changed in some versions of 12.0 but not others. This makes it impossible, by looking at the configuration, to determine if finger has been turned off.  Because of this, it is always assumed to be turned on and the fix to turn it off is applied every time. The score for this rule has been set to ""0"", so it will be possible to get a ""perfect"" score.",1.2.2 - Global Service Rules,,Disable finger server (on IOS 12.0),no,yes,79,version 12.0,IOSGlobal,,Required,^This will always fail,0,Low,"Finger is used to find out which users are logged into a device. This service is rarely used in practical environments and can potentially provide an attacker with useful information. Additionally, the finger service can exposed the device Finger of Death denial-of-service (DoS) attack. From Cisco IOS documentation: ""As with all minor services, the Finger service should be disabled on your system if you do not have a need for it in your network. Any network device that has UDP, TCP, BOOTP, or Finger services should be protected by a firewall or have the services disabled to protect against Denial of Service attacks.""","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no ip finger</cmd></code>
1.1.2.4 - Forbid Auxiliary Port,Verify that the EXEC process is disabled on the auxiliary (aux) port.,1.1.2 - Access Rules,,Disable exec on the auxiliary port,no,yes,45,version 1[0125]\.*,IOSLine,aux,Required,no exec transport output none,3,Low,"Unused ports should be disabled, if not required, since they provide a potential access path for attackers. Some devices include both an auxiliary and console port that can be used to locally connect to and configure the device. The console port is normally the primary port used to configure the device; even when remote, backup administration is required via console server or Keyboard, Video, Mouse (KVM) hardware. The auxiliary port is primarily used for dial-up administration, which is rarely used, via an external modem.",NSA Router Security Configuration Guide,,<code><cmd>router(config)# line aux 0</cmd> <cmd>router(config-line)# no exec</cmd> <cmd>router(config-line)# transport input none</cmd></code>
1.1.2.7 - Security configurations for console,Set the timeout value and configure the switch to prevent reverse telnet.,1.1.2 - Access Rules,,Set timeout and transport on console,no,yes,162,version 1[0125]\.*,IOSLine,con,Required,exec-timeout 5 0 (privilege level 15)? transport output none,3,Low,To prevent unattended session break-ins and to prevent reverse telnet to console.,NSA Router Security Configuration Guide,,<code><cmd>router(config)# line con 0</cmd> <cmd>router(config-line)# exec-timeout 5 0</cmd> <cmd>router(config-line)# transport output none</cmd></code>
1.1.3.1 - Require EXEC Banner,Verify an authorized EXEC banner is defined.,1.1.3 - Banner Rules,,Configure the exec banner presented to a user when accessing the device's enable prompt,yes,yes,48,version 1[0125]\.*,IOSGlobal,,Required,banner exec \S+,3,Low,"Presentation of an EXEC banner occurs before displaying the enable prompt, after starting an EXEC process, normally after displaying the message of the day and login banners and after the user logs into the device. “Network banners are electronic messages that provide notice of legal rights to users of computernetworks. From a legal standpoint, banners have four primary functions. 1. Banners may eliminate any Fourth Amendment""reasonable expectation of privacy"" that government employees or other users might otherwise retain in their use of networks 2. Banners may be used to generate consent to real-time monitoring under Title III 3. Banners may be used to generate consent to the retrieval of stored files and records pursuant to the SCA 4. In the case of a non-government network, banners may establish the network owner’s common authority to consent to a law enforcement search” ConfigRuleDiscussion:Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide.",,,<code>router(config)# <cmd>banner exec { banner-text }</cmd></code>
1.1.3.2 - Require Login Banner,Verify an authorized login banner is defined.,1.1.3 - Banner Rules,,Configure the login banner presented to a user attempting to access the device,yes,yes,49,version 1[0125]\.*,IOSGlobal,,Required,banner login \S+,3,Low,"Presentation of a login banner, to a user attempting to access the device, occurs before the display of login prompts and usually appears after the message of the day banner. Network banners are electronic messages that provide notice of legal rights to users of computernetworks. From a legal standpoint, banners have four primary functions. 1. Banners may eliminate any Fourth Amendment""reasonable expectation of privacy"" that government employees or other users might otherwise retain in their use of networks 2. Banners may be used to generate consent to real-time monitoring under Title III 3. Banners may be used to generate consent to the retrieval of stored files and records pursuant to the SCA 4. In the case of a non-government network, banners may establish the network owner’s common authority to consent to a law enforcement search” ConfigRuleDiscussion:Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide",,,<code>router(config)# <cmd>banner login { banner-text }</cmd></code>
1.1.3.3 - Require MOTD Banner,Verify an authorized message of the day (MOTD) banner is defined.,1.1.3 - Banner Rules,,Configure the message of the day (MOTD) banner presented when a user first connects to the device,yes,yes,50,version 1[0125]\.*,IOSGlobal,,Required,banner motd \S+,3,Low,"Presentation of a MOTD banner occurs when a user first connects to the device, normally before displaying the login banner and login prompts. “Network banners are electronic messages that provide notice of legal rights to users of computernetworks. From a legal standpoint, banners have four primary functions. 1. Banners may eliminate any Fourth Amendment""reasonable expectation of privacy"" that government employees or other users might otherwise retain in their use of networks 2. Banners may be used to generate consent to real-time monitoring under Title III 3. Banners may be used to generate consent to the retrieval of stored files and records pursuant to the SCA 4. In the case of a non-government network, banners may establish the network owner’s common authority to consent to a law enforcement search” ConfigRuleDiscussion:Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide",,,<code>router(config)# <cmd>banner motd { banner-text }</cmd></code>
1.1.3.4 - Disable Telnet Banner,Telnet Banner must be disabled.,1.1.3 - Banner Rules,,Disable Telnet Banner,yes,yes,50,version 1[0125]\.*,IOSGlobal,,Required,set banner telnet disable,3,Low,Telnet banner must be disabled so that no version information is displayed,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide",,<code>router(config)# <cmd>set banner telnet disable</cmd></code>
1.2.1.1 - Require Clock Timezone - UTC,Verify the timezone for the device clock is configured to coordinated universal time (UTC) explicitly.,1.2.1 - Clock Rules,,Configure the devices clock time zone to coordinated universal time (UTC) explicitly,no,yes,66,version 1[125]\.*,IOSGlobal,,Required,clock timezone UTC 0,3,Low,Configuring devices with a universal time zone eliminates difficulty troubleshooting issues across different time zones and correlating time stamps for disparate log files across multiple devices. Set the clock to UTC 0 (no offset) to aid in root cause analysis of attacks and network issues.,"Cisco IOS Network Management Command Reference, Release 15.0M, NSA Router Security Configuration Guide, and Cisco Guide to Harden Cisco IOS Devices",,<code><cmd>hostname(config)#clock timezone UTC 0</cmd></code>
1.2.3.3 - Disable Logging to Device Console,Verify logging to device console is disabled to avoid impacting system performance and management.,1.2.3 - Logging Rules,,Disable console logging,no,yes,93,version 1[125]\.*,IOSGlobal,,Required,no logging console,3,Low,This configuration disables console logging.,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices.",,<code><cmd>hostname(config)#no logging console</cmd></code>
1.2.3.5 - Require Logging Trap Severity Level,Verify simple network mangement protocol (SNMP) trap and syslog are set to required level.,1.2.3 - Logging Rules,,Configure SNMP trap and syslog logging level,no,no,95,version 1[125]\.*,IOSGlobal,,Required,logging trap ((informational)|(debugging)|([0-5])),3,Low,"This determines the severity of messages that will generate simple network management protocol (SNMP) trap and or syslog messages. this setting should be set to either ""debugging"" (7) or ""informational"" (6), but no lower. The default, in IOS 11.3 and later is [informational].","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices.",,<code><cmd>hostname(config)#logging trap informational</cmd></code>
